"","Season","Species","Date.75"
"2","2","ACRGRY",2012-03-12
"3","3","ACRGRY",2013-01-26
"4","4","ACRGRY",2014-03-08
"5","5","ACRGRY",2015-02-13
"6","6","ACRGRY",2016-01-30
"7","7","ACRGRY",2017-04-20
"13","2","AMBBIS",2011-12-31
"14","3","AMBBIS",2012-12-22
"15","4","AMBBIS",2013-12-03
"16","5","AMBBIS",2014-12-14
"17","6","AMBBIS",2015-11-03
"18","7","AMBBIS",2016-12-05
"24","2","BUFTER",2012-03-10
"25","3","BUFTER",2013-02-25
"26","4","BUFTER",2014-03-30
"27","5","BUFTER",2015-02-28
"28","6","BUFTER",2016-03-20
"29","7","BUFTER",2017-05-08
"33","2","EURQUA",2012-02-02
"34","3","EURQUA",2013-01-13
"35","4","EURQUA",2014-03-03
"36","5","EURQUA",2014-12-19
"37","6","EURQUA",2015-11-22
"38","7","EURQUA",2017-02-07
"44","2","GASCAR",2012-03-16
"45","3","GASCAR",2013-01-01
"46","4","GASCAR",2014-05-26
"47","5","GASCAR",2015-03-24
"48","6","GASCAR",2015-11-03
"49","7","GASCAR",2017-05-21
"55","2","PSEORN",2012-02-26
"56","3","PSEORN",2013-02-18
"57","4","PSEORN",2014-01-24
"58","5","PSEORN",2015-03-01
"59","6","PSEORN",2015-11-18
"60","7","PSEORN",2017-04-21
"65","2","LITUTR",2012-03-05
"66","3","LITUTR",2013-02-25
"67","4","LITUTR",2014-03-24
"68","5","LITUTR",2015-03-08
"69","6","LITUTR",2015-12-05
"70","7","LITUTR",2017-04-30
