Date,Species,Site,Season
11/1/2011,AGKPIS,EGLIN,2011
11/3/2011,SIGHIS,EGLIN,2011
11/3/2011,THASIR,EGLIN,2011
11/3/2011,AMBBIS,EGLIN,2011
11/3/2011,AMBBIS,EGLIN,2011
11/3/2011,AMBBIS,EGLIN,2011
11/3/2011,ACRGRY,EGLIN,2011
11/3/2011,AMBBIS,EGLIN,2011
11/3/2011,ACRGRY,EGLIN,2011
11/3/2011,AMBBIS,EGLIN,2011
11/3/2011,AMBBIS,EGLIN,2011
11/3/2011,AMBBIS,EGLIN,2011
11/4/2011,AMBBIS,EGLIN,2011
11/4/2011,AMBBIS,EGLIN,2011
11/4/2011,THASIR,EGLIN,2011
11/7/2011,DIAPUN,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,DIAPUN,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,SIGHIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,AMBBIS,EGLIN,2011
11/9/2011,GASCAR,EGLIN,2011
11/9/2011,GASCAR,EGLIN,2011
11/10/2011,ACRGRY,EGLIN,2011
11/10/2011,AMBBIS,EGLIN,2011
11/10/2011,AMBBIS,EGLIN,2011
11/10/2011,AMBBIS,EGLIN,2011
11/10/2011,AMBBIS,EGLIN,2011
11/10/2011,AMBBIS,EGLIN,2011
11/10/2011,AMBBIS,EGLIN,2011
11/10/2011,AMBBIS,EGLIN,2011
11/10/2011,AMBBIS,EGLIN,2011
11/10/2011,AMBBIS,EGLIN,2011
11/10/2011,AMBBIS,EGLIN,2011
11/10/2011,GASCAR,EGLIN,2011
11/10/2011,AMBBIS,EGLIN,2011
11/10/2011,AMBBIS,EGLIN,2011
11/10/2011,AMBBIS,EGLIN,2011
11/10/2011,AMBBIS,EGLIN,2011
11/10/2011,AMBBIS,EGLIN,2011
11/10/2011,AMBBIS,EGLIN,2011
11/10/2011,GASCAR,EGLIN,2011
11/13/2011,OPHVEN,EGLIN,2011
11/14/2011,AMBBIS,EGLIN,2011
11/14/2011,ACRGRY,EGLIN,2011
11/15/2011,AMBBIS,EGLIN,2011
11/15/2011,AMBBIS,EGLIN,2011
11/15/2011,AMBBIS,EGLIN,2011
11/15/2011,COLCON,EGLIN,2011
11/15/2011,STOOCC,EGLIN,2011
11/15/2011,AMBBIS,EGLIN,2011
11/15/2011,AMBBIS,EGLIN,2011
11/16/2011,ELAGUT,EGLIN,2011
11/16/2011,AMBBIS,EGLIN,2011
11/16/2011,AMBBIS,EGLIN,2011
11/16/2011,AMBBIS,EGLIN,2011
11/16/2011,AMBBIS,EGLIN,2011
11/16/2011,PSEORN,EGLIN,2011
11/16/2011,AMBBIS,EGLIN,2011
11/16/2011,AMBBIS,EGLIN,2011
11/16/2011,PSEORN,EGLIN,2011
11/16/2011,AMBBIS,EGLIN,2011
11/16/2011,AMBBIS,EGLIN,2011
11/16/2011,AMBBIS,EGLIN,2011
11/16/2011,AMBBIS,EGLIN,2011
11/16/2011,REGRIG,EGLIN,2011
11/16/2011,AMBBIS,EGLIN,2011
11/16/2011,AMBBIS,EGLIN,2011
11/16/2011,AMBBIS,EGLIN,2011
11/17/2011,AMBBIS,EGLIN,2011
11/18/2011,PEROMYSCUS SP,EGLIN,2011
11/19/2011,LAMELA,EGLIN,2011
11/19/2011,ELAGUT,EGLIN,2011
11/19/2011,STOOCC,EGLIN,2011
11/19/2011,PSEORN,EGLIN,2011
11/20/2011,OPHVEN,EGLIN,2011
11/20/2011,OPHVEN,EGLIN,2011
11/20/2011,THASIR,EGLIN,2011
11/20/2011,BUFTER,EGLIN,2011
11/21/2011,AMBBIS,EGLIN,2011
11/21/2011,AMBBIS,EGLIN,2011
11/21/2011,SCILAT,EGLIN,2011
11/22/2011,GASCAR,EGLIN,2011
11/22/2011,GASCAR,EGLIN,2011
11/22/2011,AMBBIS,EGLIN,2011
11/22/2011,GASCAR,EGLIN,2011
11/22/2011,AMBBIS,EGLIN,2011
11/23/2011,AMBBIS,EGLIN,2011
11/23/2011,SIGHIS,EGLIN,2011
11/23/2011,AMBBIS,EGLIN,2011
11/23/2011,AMBBIS,EGLIN,2011
11/23/2011,ACRGRY,EGLIN,2011
11/23/2011,AMBBIS,EGLIN,2011
11/23/2011,GASCAR,EGLIN,2011
11/23/2011,PSEORN,EGLIN,2011
11/23/2011,AMBBIS,EGLIN,2011
11/23/2011,AMBBIS,EGLIN,2011
11/23/2011,AMBBIS,EGLIN,2011
11/23/2011,ACRGRY,EGLIN,2011
11/23/2011,AMBBIS,EGLIN,2011
11/23/2011,AMBBIS,EGLIN,2011
11/23/2011,PSEORN,EGLIN,2011
11/23/2011,GASCAR,EGLIN,2011
11/23/2011,GASCAR,EGLIN,2011
11/23/2011,AMBBIS,EGLIN,2011
11/23/2011,GASCAR,EGLIN,2011
11/23/2011,AMBBIS,EGLIN,2011
11/23/2011,BUFTER,EGLIN,2011
11/26/2011,ASPSEX,EGLIN,2011
11/27/2011,LAMELA,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,NOTVIR,EGLIN,2011
11/27/2011,GASCAR,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
11/27/2011,AMBBIS,EGLIN,2011
